sign_a,sign_b,position,ngram_len,class_a,class_b,vowel_a,vowel_b,count_a,count_b,sub_type,inference,confidence,frame
A 305,AB 127,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 305(?) ↔ AB 127(?),0.0,[A 305|AB 127]-AB 82-VASE 9
VASE 4,AB 116,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 4(?) ↔ AB 116(?),0.0,[VASE 4|AB 116]-VASE 4-VASE 4
VASE 4,AB 64,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 4(?) ↔ AB 64(?),0.0,[VASE 4|AB 64]-VASE 4-VASE 4
AB 116,AB 64,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 116(?) ↔ AB 64(?),0.0,[AB 116|AB 64]-VASE 4-VASE 4
AB 24,AB 32,2,3,dental/coronal,vowel,e,i,1,1,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 32(i),0.0,AB 65-AB 04-[AB 24|AB 32]
AB 65,AB 04,0,3,velar/palatal,dental/coronal,u,e,1,1,morphological,prefix/suffix substitution: AB 65(ju) ↔ AB 04(te),0.0,[AB 65|AB 04]-AB 04-AB 24
AB 24,AB 51,2,3,dental/coronal,dental/coronal,e,u,1,1,unknown,unclassified: AB 24(ne) ↔ AB 51(du),0.0,AB 65-AB 04-[AB 24|AB 51]
AB 127,AB 34,2,3,?,dental/coronal,?,i,1,1,morphological,prefix/suffix substitution: AB 127(?) ↔ AB 34(ti),0.0,AB 04-AB 24-[AB 127|AB 34]
A 309,AB 61,2,3,?,vowel,?,o,1,1,morphological,prefix/suffix substitution: A 309(?) ↔ AB 61(o),0.0,AB 32-AB 06-[A 309|AB 61]
AB 32,AB 10,2,3,vowel,vowel,i,u,1,1,unknown,unclassified: AB 32(i) ↔ AB 10(u),0.0,AB 49-AB 30-[AB 32|AB 10]
AB 30,AB 08,1,3,dental/coronal,vowel,i,a,1,1,unknown,unclassified: AB 30(ni) ↔ AB 08(a),0.0,AB 49-[AB 30|AB 08]-AB 32
AB 32,AB 21f,2,3,vowel,?,i,?,1,1,morphological,prefix/suffix substitution: AB 32(i) ↔ AB 21f(?),0.0,AB 49-AB 30-[AB 32|AB 21f]
VASE 4,A 562,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: VASE 4(?) ↔ A 562(?),0.0,[VASE 4|A 562]-A 562-A 562
AB 48,AB 45,1,3,?,dental/coronal,?,i,1,1,unknown,unclassified: AB 48(?) ↔ AB 45(ri),0.0,AB 08-[AB 48|AB 45]-AB 49
AB 49,AB 07,2,3,?,dental/coronal,?,i,1,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 07(di),0.0,AB 08-AB 48-[AB 49|AB 07]
AB 48,AB 20,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 48(?) ↔ AB 20(zo?),0.0,[AB 48|AB 20]-AB 49-AB 56
AB 56,AB 46,1,3,?,?,?,?,1,1,unknown,unclassified: AB 56(?) ↔ AB 46(?),0.0,AB 49-[AB 56|AB 46]-AB 48
AB 48,AB 56,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 48(?) ↔ AB 56(?),0.0,AB 49-AB 56-[AB 48|AB 56]
AB 56,AB 24,1,3,?,dental/coronal,?,e,1,1,unknown,unclassified: AB 56(?) ↔ AB 24(ne),0.0,AB 49-[AB 56|AB 24]-AB 48
AB 48,AB 36,2,3,?,velar/palatal,?,o,1,1,morphological,prefix/suffix substitution: AB 48(?) ↔ AB 36(jo),0.0,AB 49-AB 56-[AB 48|AB 36]
AB 48,AB 52,1,3,?,?,?,?,1,1,unknown,unclassified: AB 48(?) ↔ AB 52(?),0.0,AB 56-[AB 48|AB 52]-AB 08
AB 48,VASE 3,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 48(?) ↔ VASE 3(?),0.0,[AB 48|VASE 3]-AB 08-AB 45
AB 08,AB 47,0,3,vowel,dental/coronal,a,u,1,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 47(nu),0.0,[AB 08|AB 47]-AB 45-AB 49
VASE 4,AB 32,1,3,?,vowel,?,i,1,1,unknown,unclassified: VASE 4(?) ↔ AB 32(i),0.0,AB 32-[VASE 4|AB 32]-AB 65
AB 45,AB 08,1,3,dental/coronal,vowel,i,a,1,1,unknown,unclassified: AB 45(ri) ↔ AB 08(a),0.0,AB 24-[AB 45|AB 08]-AB 59
AB 45,AB 57,1,3,dental/coronal,velar/palatal,i,a,1,1,unknown,unclassified: AB 45(ri) ↔ AB 57(ja),0.0,AB 24-[AB 45|AB 57]-AB 59
AB 07,AB 32,1,3,dental/coronal,vowel,i,i,1,1,unknown,unclassified: AB 07(di) ↔ AB 32(i),0.0,AB 65-[AB 07|AB 32]-AB 18
AB 18,AB 07,1,3,dental/coronal,dental/coronal,o,i,1,1,phonetic,"same class (dental/coronal), different vowel: AB 18(zo) ↔ AB 07(di)",0.5,AB 07-[AB 18|AB 07]-AB 20
AB 22f,AB 26,0,3,?,dental/coronal,?,u,1,1,morphological,prefix/suffix substitution: AB 22f(?) ↔ AB 26(ru),0.0,[AB 22f|AB 26]-AB 66-AB 48
AB 47,AB 18,0,3,dental/coronal,dental/coronal,u,o,1,1,unknown,unclassified: AB 47(nu) ↔ AB 18(zo),0.0,[AB 47|AB 18]-AB 68-AB 36
AB 03,AB 08,2,3,labial,vowel,a,a,1,1,morphological,prefix/suffix substitution: AB 03(pa) ↔ AB 08(a),0.0,AB 36-AB 24-[AB 03|AB 08]
AB 24,AB 08,1,3,dental/coronal,vowel,e,a,1,1,unknown,unclassified: AB 24(ne) ↔ AB 08(a),0.0,AB 36-[AB 24|AB 08]-AB 03
