triple_id,total_connections,connections,sign_1,sign_2,sign_3,shared_following,shared_preceding,s1_in_uncertain,s2_in_uncertain,s3_in_uncertain,uncertain_count,sign_1_ml_pred,sign_2_ml_pred,sign_3_ml_pred,sign_1_ml_conf,sign_2_ml_conf,sign_3_ml_conf,sign_1_pos_init,sign_2_pos_init,sign_3_pos_init,sign_1_pos_fin,sign_2_pos_fin,sign_3_pos_fin,sign_1_total_occ,sign_2_total_occ,sign_3_total_occ
10053,3,"C,V,both",AB 44,AB 66,AB 45,"AB 06,AB 23,AB 52",AB 08,False,True,True,2,,ta,de,0.0,0.1687,0.3035,0.075,0.362,0.013,0.087,0.356,0.039,80,461,77
911,3,"C,V,both",AB 02,AB 32,AB 51,"AB 07,AB 56,AB 65","AB 10,AB 56",True,False,True,2,ro,,du,0.3403,0.0,0.2566,0.337,0.098,0.172,0.441,0.116,0.161,279,112,180
956,3,"C,V,both",AB 02,AB 54,AB 36,AB 56,"AB 08,AB 56,AB 66",True,False,True,2,ro,,jo,0.3403,0.0,0.3901,0.337,0.083,0.363,0.441,0.056,0.324,279,36,333
4252,3,"C,V,both",AB 07,AB 66,AB 63,"AB 48,AB 52,AB 56","AB 08,AB 10,AB 52",True,True,False,2,di,ta,,0.4855,0.1687,0.0,0.083,0.362,0.196,0.101,0.356,0.174,109,461,46
4934,3,"C,V,both",AB 08,AB 59,AB 51,"AB 07,AB 47,AB 56",AB 10,False,True,True,2,,ta,du,0.0,0.0979,0.2566,0.435,0.11,0.172,0.081,0.15,0.161,209,100,180
6157,3,"C,V,both",AB 12,AB 29,AB 62,AB 10,"AB 01,AB 50,AB 52",False,True,True,2,,pu,ta,0.0,0.3253,0.1386,0.07,0.118,0.403,0.14,0.243,0.394,43,144,437
6907,3,"C,V,both",AB 22f,AB 36,AB 51,"AB 01,AB 07,AB 56","AB 07,AB 08,AB 56",False,True,True,2,,jo,du,0.0,0.3901,0.2566,0.103,0.363,0.172,0.138,0.324,0.161,58,333,180
9368,3,"C,V,both",AB 34,AB 36,AB 51,"AB 06,AB 07,AB 56",AB 56,False,True,True,2,,jo,du,0.0,0.3901,0.2566,0.085,0.363,0.172,0.119,0.324,0.161,59,333,180
12036,3,"C,V,both",AB 65,AB 54,AB 66,"AB 02,AB 56,AB 66",AB 66,True,False,True,2,jo,,ta,0.2831,0.0,0.1687,0.092,0.083,0.362,0.058,0.056,0.356,120,36,461
666,3,"C,V,both",AB 01,AB 06,AB 51,"AB 10,AB 52","AB 10,AB 56",True,False,True,2,da,,du,0.525,0.0,0.2566,0.154,0.044,0.172,0.091,0.088,0.161,143,159,180
1144,3,"C,V,both",AB 02,AB 65,AB 04,AB 56,AB 56,True,True,False,2,ro,jo,,0.3403,0.2831,0.0,0.337,0.092,0.215,0.441,0.058,0.301,279,120,186
1343,3,"C,V,both",AB 02,AB 06,AB 52,AB 56,AB 56,True,False,True,2,ro,,no,0.3403,0.0,0.2915,0.337,0.044,0.094,0.441,0.088,0.094,279,159,117
1889,3,"C,V,both",AB 03,AB 65,AB 36,"AB 07,AB 56","AB 08,AB 56,AB 66",False,True,True,2,,jo,jo,0.0,0.2831,0.3901,0.097,0.092,0.363,0.087,0.058,0.324,103,120,333
2715,3,"C,V,both",AB 04,AB 36,AB 73,"AB 01,AB 29,AB 56","AB 06,AB 56",False,True,True,2,,jo,mi,0.0,0.3901,0.0979,0.215,0.363,0.118,0.301,0.324,0.132,186,333,68
3403,3,"C,V,both",AB 06,AB 49,AB 29,AB 10,AB 56,False,True,True,2,,we,pu,0.0,0.2994,0.3253,0.044,0.163,0.118,0.088,0.145,0.243,159,172,144
4064,3,"C,V,both",AB 07,AB 62,AB 10,AB 56,"AB 06,AB 50,AB 62",True,True,False,2,di,ta,,0.4855,0.1386,0.0,0.083,0.403,0.162,0.101,0.394,0.059,109,437,68
4122,3,"C,V,both",AB 07,AB 13,AB 66,"AB 24,AB 48,AB 56","AB 08,AB 56,AB 62",True,False,True,2,di,,ta,0.4855,0.0,0.1687,0.083,0.178,0.362,0.101,0.089,0.356,109,45,461
6827,3,"C,V,both",AB 22f,AB 62,AB 65,"AB 10,AB 56","AB 07,AB 50",False,True,True,2,,ta,jo,0.0,0.1386,0.2831,0.103,0.403,0.092,0.138,0.394,0.058,58,437,120
6966,3,"C,V,both",AB 22f,AB 66,AB 59,"AB 01,AB 52,AB 56","AB 08,AB 66",False,True,True,2,,ta,ta,0.0,0.1687,0.0979,0.103,0.362,0.11,0.138,0.356,0.15,58,461,100
8971,3,"C,V,both",AB 32,AB 62,AB 73,"AB 01,AB 44,AB 56","AB 06,AB 63",False,True,True,2,,ta,mi,0.0,0.1386,0.0979,0.098,0.403,0.118,0.116,0.394,0.132,112,437,68
9290,3,"C,V,both",AB 34,AB 62,AB 65,"AB 10,AB 56","AB 50,AB 51,AB 56",False,True,True,2,,ta,jo,0.0,0.1386,0.2831,0.085,0.403,0.092,0.119,0.394,0.058,59,437,120
9382,3,"C,V,both",AB 34,AB 66,AB 59,"AB 06,AB 52,AB 56",AB 66,False,True,True,2,,ta,ta,0.0,0.1687,0.0979,0.085,0.362,0.11,0.119,0.356,0.15,59,461,100
9996,3,"C,V,both",AB 44,AB 07,AB 85,"AB 36,AB 52,AB 85",AB 08,False,True,True,2,,di,au,0.0,0.4855,0.1286,0.075,0.083,0.469,0.087,0.101,0.47,80,109,508
11902,3,"C,V,both",AB 62,AB 30,AB 71,"AB 07,AB 10,AB 26","AB 50,AB 62",True,False,True,2,ta,,ke,0.1386,0.0,0.1184,0.403,0.065,0.244,0.394,0.043,0.22,437,139,41
1353,3,"C,V,both",AB 02,AB 29,AB 30,"AB 10,AB 56,AB 65",AB 56,True,True,False,2,ro,pu,,0.3403,0.3253,0.0,0.337,0.118,0.065,0.441,0.243,0.043,279,144,139
4075,3,"C,V,both",AB 07,AB 62,AB 09,"AB 04,AB 08,AB 56","AB 08,AB 50,AB 56",True,True,False,2,di,ta,,0.4855,0.1386,0.0,0.083,0.403,0.058,0.101,0.394,0.232,109,437,69
7712,3,"C,V,both",AB 24,AB 36,AB 59,AB 56,"AB 50,AB 56",False,True,True,2,,jo,ta,0.0,0.3901,0.0979,0.103,0.363,0.11,0.143,0.324,0.15,126,333,100
9639,3,"C,V,both",AB 36,AB 49,AB 61,"AB 10,AB 29,AB 56",AB 63,True,True,False,2,jo,we,,0.3901,0.2994,0.0,0.363,0.163,0.057,0.324,0.145,0.302,333,172,53
11350,3,"C,V,both",AB 52,AB 54,AB 66,"AB 06,AB 56,AB 66",AB 66,True,False,True,2,no,,ta,0.2915,0.0,0.1687,0.094,0.083,0.362,0.094,0.056,0.356,117,36,461
125,3,"C,V,both",AB 01,AB 54,AB 62,"AB 10,AB 56","AB 07,AB 08,AB 66",True,False,True,2,da,,ta,0.525,0.0,0.1386,0.154,0.083,0.403,0.091,0.056,0.394,143,36,437
