egyptian_id,egyptian_english,egyptian_category,egyptian_subcategory,egyptian_skeleton,egyptian_class_str,gorila_id,site,material,period,object_type,match_sign_start,match_sign_end,match_length,matched_signs,matched_classes,source,commodities_nearby,commodity_context,score
Ssr,linen (fine),commodities,textile,Ssr,SSR,IOZa9,Iouktas,stone,Uncertain,stone vessel,1,3,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,IOZb10,Iouktas,pottery/ceramic,LMI,Clay vessel,1,3,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,IOZa12,Iouktas,stone,LMI,stone vessel,1,3,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,KNZa10,Knossos,stone,LM IA,stone vessel,5,7,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,KHZc106,Knossos,,Uncertain,Inked inscription,0,2,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,PKZa4,Palaikastro,stone,Uncertain,stone vessel,1,3,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,PLZf1,Platanos,metal,Uncertain,metal object,9,11,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,POZc1,Poros Herakleiou,,LMIIIA,Inked inscription,4,6,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,PSZa2,Psykhro,stone,Uncertain,stone vessel,9,11,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,SAMWa1,Samothrace,,MM II,Nodule,1,3,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,SYZa3,Syme,stone,LM IA,stone vessel,8,10,3,si+si+ru,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,TLZa1,Troullos,stone,Uncertain,stone vessel,10,12,3,sa+sa+ra,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,GO2r,Gournia,clay,Uncertain,tablet (page-shaped),0,2,3,si+si+ro,SSR,conventional,,False,55.0
Ssr,linen (fine),commodities,textile,Ssr,SSR,PKZa27,Palaikastro,stone,Uncertain,stone vessel,1,3,3,sa+sa+ra,SSR,conventional,,False,55.0
sDf^,provision/supply,trade,goods,sDf,STP,HT43,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),1,3,3,si+du+pa,STP,conventional,,False,55.0
sDf^,provision/supply,trade,goods,sDf,STP,HT123+124b,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),2,4,3,sa+du+pa,STP,conventional,,False,55.0
sDf^,provision/supply,trade,goods,sDf,STP,KNZf13,Knossos,metal,LM IA,metal object,3,5,3,si+di+pi,STP,conventional,,False,55.0
