gorila_id,inscription_id,num_signs,strategy,num_boundaries,confidence,has_ground_truth,details
HT112b,143,7,ground_truth,0,0.0000,False,0 divider(s)
HT112b,143,7,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT112b,143,7,viterbi_hmm,3,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT113,144,16,bigram_transition,2,1.0000,True,"threshold=0.012821, p25"
HT113,144,16,boundary_entropy,8,1.0000,True,"threshold=1.0000, median=1.0000"
HT113,144,16,consensus,1,1.0000,True,"4 strategies, 1 accepted"
HT113,144,16,ground_truth,1,1.0000,True,1 divider(s)
HT113,144,16,positional_profile,1,1.0000,True,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT113,144,16,viterbi_hmm,7,1.0000,True,"within_pairs=2768, cross_pairs=382"
HT113ter,145,7,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HT113ter,145,7,boundary_entropy,4,1.0000,False,"threshold=1.0000, median=1.0000"
HT113ter,145,7,consensus,0,0.0000,False,"4 strategies, 0 accepted"
HT113ter,145,7,ground_truth,0,0.0000,False,0 divider(s)
HT113ter,145,7,positional_profile,0,1.0000,False,"start=27, end=11, thr_start=0.333, thr_end=0.333"
HT113ter,145,7,viterbi_hmm,1,1.0000,False,"within_pairs=2768, cross_pairs=382"
HT114a,146,15,bigram_transition,0,1.0000,False,"threshold=0.012821, p25"
HT114a,146,15,boundary_entropy,5,1.0000,False,"threshold=1.0000, median=1.0000"
HT114a,146,15,consensus,0,0.0000,False,"4 strategies, 0 accepted"
