gorila_id,inscription_id,num_signs,num_words,segmented_text,ground_truth_boundaries,predicted_boundaries,confidence
KH15,1149,9,1,𐝫𐙗𐝫𐝆𐘝𐝆𐝫𐘝𐝃,[],[],0.0000
KH16,1150,19,1,𐝫𐄑𐄈𐙗𐝇𐝉𐝫𐝫𐘉𐘳𐘚𐘤𐜙𐝫𐝫𐝆𐘳𐝫𐝫,[],[],0.0000
KH17,1151,14,1,𐝫𐝫𐝫𐄊𐝆𐝁𐘝𐝫𐝫𐘝𐄇𐘇𐝫𐝫,[],[],0.0000
KH18,1152,23,1,𐝫𐝫𐜨𐝫𐄋𐘚𐙂𐘢𐝫𐝫𐙏𐄇𐙂𐄑𐄈𐘤𐝫𐝫𐚵𐙏𐄇𐚶𐝫,[],[],0.0000
KH19,1153,11,1,𐝫𐙚𐛨𐄐𐄉𐝫𐝫𐄈𐜐𐝁𐝫,[],[],0.0000
KH2,1135,12,1,𐝫𐝫𐄑𐘹𐝫𐙗𐝫𐝃𐙚𐜚𐝫𐝫,[],[],0.0000
KH20,1154,20,4,𐝫𐝫 | 𐘇𐘤𐘸𐘴𐄁 | 𐜚𐝫𐝫𐝁𐝫𐘬𐘙𐘍𐄁 | 𐜚𐝆𐘝𐝃,"[6, 15]","[1, 6, 15]",0.9167
KH21,1155,13,1,𐝫𐝫𐙗𐝍𐝫𐝂𐘝𐄈𐝫𐙚𐘿𐘬𐝫,[],[],0.0000
KH22,1156,13,2,𐝫𐘍𐄁 | 𐘲𐄍𐜚𐝫𐝫𐘤𐄊𐙗𐝫𐝫,[2],[2],1.0000
KH23,1157,7,1,𐘇𐘬𐝫𐝫𐙗𐝫𐝫,[],[],0.0000
KH24,1158,8,1,𐝫𐘲𐄐𐄈𐝫𐝫𐝉𐝫,[],[],0.0000
KH25,1159,10,1,𐝫𐙇𐄙𐄓𐝫𐝫𐙇𐄐𐝫𐝫,[],[],0.0000
KH26,1160,13,2,𐝫 | 𐝫𐙇𐄕𐝫𐝫𐘝𐄈𐝃𐝋𐝫𐝫𐝫,[],[0],0.7500
KH27,1161,8,1,𐝫𐝫𐘝𐝫𐝫𐛭𐄊𐝫,[],[],0.0000
KH28,1162,7,3,𐝫𐝫 | 𐝫𐘈𐄁 | 𐛵𐝫,[4],"[1, 4]",0.8750
KH29,1163,17,2,𐝫𐘴𐄁 | 𐘷𐝫𐝫𐄇𐙂𐘂𐝫𐝫𐄈𐙗𐝆𐝫𐝫𐝫,[2],[2],1.0000
KH3,1136,5,2,𐝫 | 𐝫𐘯𐄇—,[],[0],0.7500
KH30,1164,7,1,𐝫𐝫𐝉𐝫𐝫𐘝𐄏,[],[],0.0000
KH31,1165,11,1,𐝫𐝫𐜨—𐝫𐝆𐜪𐝫𐝫𐄇𐝫,[],[],0.0000
KH32,1166,7,1,𐘚𐙷𐝫𐝫𐄋𐝫𐝫,[],[],0.0000
KH33,1167,9,1,𐝫𐝫𐜙𐝫𐝫𐄇𐘇𐝫𐝫,[],[],0.0000
KH34,1168,7,1,𐝫𐜚𐄈𐘝𐝫𐝫𐝫,[],[],0.0000
KH35,1169,7,1,𐝫𐝫𐝫𐄇𐙗𐝫𐝫,[],[],0.0000
KH36,1170,10,2,𐝫𐘾𐄁 | 𐛚𐄊𐝫𐝫𐘅𐝫𐝫,[2],[2],1.0000
KH37,1171,6,1,𐜜𐄈𐘣𐝫𐜜𐝫,[],[],0.0000
KH38,1172,7,1,𐝫𐝫𐜙𐝆𐝫𐝫𐝫,[],[],0.0000
KH39,1173,7,1,𐘇𐘳𐝫𐝫𐜐𐝫𐝫,[],[],0.0000
KH4,1137,12,1,𐘇𐘬𐘙𐝫𐝫𐙚𐄊𐙗𐝁𐝫𐝫𐝫,[],[],0.0000
KH40,1174,6,1,𐝫𐝫𐘤𐘅𐝫𐝫,[],[],0.0000
KH41,1175,8,1,𐝫𐄉𐝫𐘾𐘳𐘙𐝫𐝫,[],[],0.0000
KH42,1176,5,1,𐝫𐝫𐜟𐝫𐝫,[],[],0.0000
KH43,1177,7,1,𐝫𐛢𐘙𐄈𐛇𐝫𐝫,[],[],0.0000
KH44,1178,6,1,𐝫𐝫𐝫𐙻𐝫𐝫,[],[],0.0000
KH45,1179,4,1,𐘇𐝫𐝫𐝫,[],[],0.0000
KH46,1180,7,1,𐝫𐝫𐝫𐝋𐙍𐝫𐝫,[],[],0.0000
KH47,1181,14,2,𐝫𐝫𐘌𐘗𐝫𐝫𐄌𐘤𐝫𐝫𐘴𐄁 | 𐙚𐝫,[11],[11],1.0000
KH49,1182,8,1,𐝫𐝫𐘘𐝫𐝫𐙂𐝫𐝫,[],[],0.0000
KH5,1138,38,5,𐘇𐘀𐘸𐘤𐘾𐄁 | 𐘇𐘴𐘉𐘀𐄁 | 𐘣𐘞𐘞𐘗𐜚𐄈𐜂𐄈𐘣𐘅𐘬𐄁 | 𐙕𐘅𐄁 | 𐙂𐘂𐙀𐙗𐝫𐄉𐝫𐝀𐘝𐄈𐝆𐝁,"[5, 10, 22, 25]","[5, 10, 22, 25]",1.0000
KH50,1183,13,3,𐝫 | 𐝫𐘳𐄈𐝫𐘧𐄈𐘿𐝫𐄁 | 𐄇——,[9],"[0, 9]",0.8750
KH51,1184,10,2,𐝫𐘤 | 𐘚𐘤𐄉𐝫𐄊𐘹𐝫𐝫,[],[1],0.7500
KH52,1185,7,2,𐝫𐝫 | 𐝫𐘳𐘉𐝫𐝫,[],[1],0.7500
KH53,1186,8,2,𐝫𐘇𐘋𐙌𐄁 | 𐘗𐝫𐝫,[4],[4],1.0000
KH54,1187,9,1,𐝫𐜚𐄇𐙉𐝫𐄇𐝫𐝫𐝫,[],[],0.0000
KH55,1188,10,1,𐝫𐝫𐜐𐝁𐝫𐄉𐝫𐘝𐝫𐝫,[],[],0.0000
KH56,1189,6,1,𐝫𐝕𐝉𐝫𐝫𐝫,[],[],0.0000
KH57,1190,14,1,𐝫𐝫𐘹𐝫𐝫𐘎𐄇𐝫𐝫𐙗𐝫𐝃𐝫𐝫,[],[],0.0000
KH58,1191,25,1,𐝫𐝫𐝫𐙗𐝫𐄊𐘝𐝫𐝫𐜚𐄇𐝃𐘇𐝫𐝫𐜚𐄊𐝫𐝫𐙗𐝫𐝆𐘇𐙕𐝫,[],[],0.0000
