n,gram,count,probability,type
1,*903,1,0.00009076,transliteration
1,HIDE+SA+L,1,0.00009076,transliteration
1,𐜄,1,0.00009076,transliteration
1,HIDE+SA+B,1,0.00009076,transliteration
1,CC (3/16?),1,0.00009076,transliteration
1,160,1,0.00009076,transliteration
1,941,1,0.00009076,transliteration
1,EE (7/16?),1,0.00009076,transliteration
1,620,1,0.00009076,transliteration
1,𐄞,1,0.00009076,transliteration
1,233,1,0.00009076,transliteration
1,2000,1,0.00009076,transliteration
1,𐄣,1,0.00009076,transliteration
1,*413+SU,1,0.00009076,transliteration
1,*405+Ω,1,0.00009076,transliteration
1,*402+A,1,0.00009076,transliteration
1,𐜬,1,0.00009076,transliteration
1,TI+*412VAS,1,0.00009076,transliteration
1,*412+E,1,0.00009076,transliteration
1,*414+F,1,0.00009076,transliteration
1,𐜴,1,0.00009076,transliteration
1,*405,1,0.00009076,transliteration
1,𐁁,1,0.00009076,transliteration
1,36,1,0.00009076,transliteration
1,𐙨,1,0.00009076,transliteration
1,𐝄𐝇,1,0.00009076,transliteration
1,*556,1,0.00009076,transliteration
1,𐛡,1,0.00009076,transliteration
1,*563,1,0.00009076,transliteration
1,𐛣,1,0.00009076,transliteration
1,]MI+JA,1,0.00009076,transliteration
1,𐝈,1,0.00009076,transliteration
1,𐝈𐝃,1,0.00009076,transliteration
1,*416+L2,1,0.00009076,transliteration
1,*353,1,0.00009076,transliteration
1,*412,1,0.00009076,transliteration
1,𐝆𐝆,1,0.00009076,transliteration
1,*355,1,0.00009076,transliteration
1,*354,1,0.00009076,transliteration
1,|||||||||||||,1,0.00009076,transliteration
1,𐝫𐝃𐝃,1,0.00009076,transliteration
1,*356,1,0.00009076,transliteration
1,𐝃𐝃𐝫,1,0.00009076,transliteration
1,*357,1,0.00009076,transliteration
1,*358,1,0.00009076,transliteration
1,[barley?],1,0.00009076,transliteration
1,*359,1,0.00009076,transliteration
1,[wine?],1,0.00009076,transliteration
1,*360,1,0.00009076,transliteration
1,[oil?],1,0.00009076,transliteration
1,𐝫𐝆𐝆,1,0.00009076,transliteration
1,𐝃𐝏𐝏𐝏𐝫,1,0.00009076,transliteration
1,102,1,0.00009076,transliteration
1,*811,1,0.00009076,transliteration
1,𐝮,1,0.00009076,transliteration
1,CAPm+KU,1,0.00009076,transliteration
1,zo,1,0.00009076,transliteration
1,mi,1,0.00009076,transliteration
1,*320,1,0.00009076,transliteration
1,𐘜,1,0.00009076,transliteration
1,*802,1,0.00009076,transliteration
1,*806,1,0.00009076,transliteration
1,*800,1,0.00009076,transliteration
1,NWA,1,0.00009076,transliteration
1,"?,zo?",1,0.00009076,transliteration
1,*801,1,0.00009076,transliteration
1,𐝡,1,0.00009076,transliteration
1,500,1,0.00009076,transliteration
1,𐄝,1,0.00009076,transliteration
1,290,1,0.00009076,transliteration
1,𐙟,1,0.00009076,transliteration
1,𐘮,1,0.00009076,transliteration
1,OLE+KI+U,1,0.00009076,transliteration
1,OLE+KI+ME,1,0.00009076,transliteration
1,𐜔,1,0.00009076,transliteration
1,𐜕,1,0.00009076,transliteration
1,*361,1,0.00009076,transliteration
1,weigh D,1,0.00009076,transliteration
1,220,1,0.00009076,transliteration
1,ki,1,0.00009076,transliteration
1,VIN+KA,1,0.00009076,transliteration
1,𐝃𐝆,1,0.00009076,transliteration
1,*362,1,0.00009076,transliteration
1,𐝈𐝉,1,0.00009076,transliteration
1,QE+GRA+PA,1,0.00009076,transliteration
1,*363,1,0.00009076,transliteration
1,57,1,0.00009076,transliteration
1,78,1,0.00009076,transliteration
1,𐙦,1,0.00009076,transliteration
1,𐙎,1,0.00009076,transliteration
1,Y (1/5?),1,0.00009076,transliteration
1,*809,1,0.00009076,transliteration
1,"𐄑,𐄈",1,0.00009076,transliteration
1,",",1,0.00009076,transliteration
1,PA3,1,0.00009076,transliteration
1,217,1,0.00009076,transliteration
1,1/2,1,0.00009076,transliteration
1,*652,1,0.00009076,transliteration
1,*653,1,0.00009076,transliteration
1,VAS,1,0.00009076,transliteration
1,ၶ,1,0.00009076,transliteration
1,b,1,0.00009076,transliteration
2,𐝫 𐝫,435,0.04673399,transliteration
